,Chamber,URN,Majority party,IMG
0,Alabama House of Representatives,"/Alabama_House_of_Representatives_elections,_2022", Republican,/File:Ends.png
1,Alabama State Senate,"/Alabama_State_Senate_elections,_2022", Republican,/File:Ends.png
2,Alaska House of Representatives,"/Alaska_House_of_Representatives_elections,_2022", Power-sharing agreement,/File:Grey.png
3,Alaska State Senate,"/Alaska_State_Senate_elections,_2022", Republican,/File:Ends.png
4,Arizona House of Representatives,"/Arizona_House_of_Representatives_elections,_2022", Republican,/File:Ends.png
5,Arizona State Senate,"/Arizona_State_Senate_elections,_2022", Republican,/File:Ends.png
6,Arkansas House of Representatives,"/Arkansas_House_of_Representatives_elections,_2022", Republican,/File:Ends.png
7,Arkansas State Senate,"/Arkansas_State_Senate_elections,_2022", Republican,/File:Ends.png
8,California State Assembly,"/California_State_Assembly_elections,_2022", Democratic,/File:Electiondot.png
9,California State Senate,"/California_State_Senate_elections,_2022", Democratic,/File:Electiondot.png
10,Colorado House of Representatives,"/Colorado_House_of_Representatives_elections,_2022", Democratic,/File:Electiondot.png
11,Colorado State Senate,"/Colorado_State_Senate_elections,_2022", Democratic,/File:Electiondot.png
12,Connecticut House of Representatives,"/Connecticut_House_of_Representatives_elections,_2022", Democratic,/File:Electiondot.png
13,Connecticut State Senate,"/Connecticut_State_Senate_elections,_2022", Democratic,/File:Electiondot.png
14,Delaware House of Representatives,"/Delaware_House_of_Representatives_elections,_2022", Democratic,/File:Electiondot.png
15,Delaware State Senate,"/Delaware_State_Senate_elections,_2022", Democratic,/File:Electiondot.png
16,Florida House of Representatives,"/Florida_House_of_Representatives_elections,_2022", Republican,/File:Ends.png
17,Florida State Senate,"/Florida_State_Senate_elections,_2022", Republican,/File:Ends.png
18,Georgia House of Representatives,"/Georgia_House_of_Representatives_elections,_2022", Republican,/File:Ends.png
19,Georgia State Senate,"/Georgia_State_Senate_elections,_2022", Republican,/File:Ends.png
20,Hawaii House of Representatives,"/Hawaii_House_of_Representatives_elections,_2022", Democratic,/File:Electiondot.png
21,Hawaii State Senate,"/Hawaii_State_Senate_elections,_2022", Democratic,/File:Electiondot.png
22,Idaho House of Representatives,"/Idaho_House_of_Representatives_elections,_2022", Republican,/File:Ends.png
23,Idaho State Senate,"/Idaho_State_Senate_elections,_2022", Republican,/File:Ends.png
24,Illinois House of Representatives,"/Illinois_House_of_Representatives_elections,_2022", Democratic,/File:Electiondot.png
